Player Name,MP,GS,MIN,MPG,G,AS,GA,YC,RC,+/-,MVP,,,
Diego Sampaio,7,5,555,79,4,1,0,0,0,11,2,,MP,Match Played
Daniel,10,9,713,71,0,0,0,0,0,10,0,,GS,Game Starter
Gabriel,7,5,500,71,2,0,0,0,0,7,1,,MIN,Minutes
Samuel Moura,7,6,451,64,3,1,0,0,2,7,1,,MPG,Minutes per Game
Jefferson Tosti,9,7,489,54,0,0,0,1,0,6,0,,G,Goals
Igor Paiva,10,8,518,52,1,1,0,0,0,5,0,,AS,Assists
Tiago,7,6,564,81,0,0,6,0,0,4,0,,GA,Goals Against
Genelson Junior,6,5,408,68,2,0,0,2,2,3,2,,YC,Yellow Card
Bruno Santos,4,0,171,43,0,1,0,0,0,2,0,,RC,Red Card
Eliel,4,3,111,28,0,0,0,0,0,2,0,,+/-,Score Diff on the field
Felipe Moreira,8,3,267,33,0,2,0,2,0,2,0,,MVP,Most Valuable Player
Vitor Samone,9,7,534,59,1,0,0,1,0,2,1,,,
Renan Gouveia,3,0,121,40,0,1,0,0,0,1,0,,,
Ryan Jobb,2,0,14,7,0,0,0,0,0,1,0,,,
Alison Marangao,9,7,613,68,0,2,0,0,0,0,0,,,
Claudio Comunale Filho,9,5,484,54,0,1,0,0,0,0,0,,,
Gabriel Lloyd,4,3,201,50,2,1,0,0,0,0,0,,,
Leo Correa,10,8,678,68,0,1,0,1,0,0,0,,,
Adriano,3,1,113,38,0,0,0,0,0,-1,0,,,
Dan Coutinho,3,2,145,48,0,0,0,0,0,-1,0,,,
Pedro Koster,2,0,47,24,0,0,0,0,0,-1,0,,,
Osorio,3,3,224,75,0,0,8,0,0,-2,0,,,
Claudio Coelho,9,3,383,43,0,0,0,0,0,-3,0,,,
Hulk,4,2,243,61,2,0,0,0,0,-4,1,,,
Tomas Morais,9,3,282,31,0,0,0,0,0,-4,0,,,
Giovanni,6,0,197,33,0,0,0,0,0,-5,0,,,
Marcelo Ribeiro,4,0,49,12,0,0,0,0,0,-5,0,,,
Vinicius Totti,8,8,503,63,0,0,0,0,0,-6,0,,,
